ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
939 CHARLES AVE,03/04/2011 12:00:00 AM,Duplex,2,1,7,32500,"(44.95768135, -93.13986424)"
119 LYTON PLACE,06/11/2018 12:00:00 AM,Mixed Use,2,1,6,31400,"(44.96568478, -93.10503405)"
100 10TH ST E,03/23/2020 12:00:00 AM,Commercial,1,2,17,34202,"(44.95088376, -93.09532692)"
1067 COMO PLACE,04/16/2018 12:00:00 AM,Single Family Residential,2,5,10,31200,"(44.97333441, -93.13461986)"
1565 ROSS AVE,09/07/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96599301, -93.03457361)"
1271 UNIVERSITY AVE W,05/29/2020 12:00:00 AM,Commercial,1,4,11,32300,"(44.95592422, -93.15377498)"
1576 GRIGGS ST N,07/26/2018 12:00:00 AM,Single Family Residential,2,5,10,30201,"(44.98882903, -93.14985553)"
2 EDGCUMBE PLACE,02/15/2018 12:00:00 AM,Single Family Residential,1,3,15,36600,"(44.91502598, -93.15054432)"
1470 KENT ST,01/21/2020 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.98542697, -93.12343498)"
685 MINNEHAHA AVE E,08/11/2010 12:00:00 AM,Commercial,2,6,4,31500,"(44.96311852, -93.07212196)"
134 CASE AVE,07/26/2019 12:00:00 AM,Single Family Residential,3,5,6,31400,"(44.96998887, -93.09498418)"
1273 SARGENT AVE,10/10/2019 12:00:00 AM,Single Family Residential,1,3,14,35300,"(44.93512583, -93.15388652)"
1089 FARRINGTON ST,06/12/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97406025, -93.11382402)"
1737 COTTAGE AVE E,04/29/2020 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.98306283, -93.02695094)"
425 RICE ST,04/16/2019 12:00:00 AM,Commercial,2,1,17,33700,"(44.95361819, -93.10780981)"
707 PREBLE ST,11/22/2019 12:00:00 AM,Duplex,2,6,5,33000,"(44.9625075, -93.07527055)"
1128 MACKUBIN ST,05/05/2009 12:00:00 AM,Duplex,2,5,6,30800,"(44.97530449, -93.12104279)"
896 YORK AVE,04/21/2020 12:00:00 AM,Single Family Residential,1,6,5,31600,"(44.96837965, -93.06258979)"
1136 LAFOND AVE,02/11/2016 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.9601206, -93.1481715)"
100 10TH ST E,03/23/2020 12:00:00 AM,Commercial,1,2,17,34202,"(44.95088376, -93.09532692)"
1253 CLEVELAND AVE N,08/05/2004 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.97876153, -93.18763715)"
1446 RICE ST,07/16/2019 12:00:00 AM,Commercial,1,5,6,30500,"(44.98485556, -93.10566994)"
313 TOPPING ST,03/24/2020 12:00:00 AM,Duplex,1,1,6,31300,"(44.96760651, -93.11326298)"
171 GRANITE ST,04/19/2017 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.96626249, -93.09321039)"
270 EARL ST,02/05/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.94943939, -93.0555683)"
61 JESSAMINE AVE W,05/13/2010 12:00:00 AM,Duplex,2,5,6,30500,"(44.97479581, -93.10256264)"
560 MENDOTA ST,11/06/2019 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95814154, -93.06331827)"
1971 NORTONIA AVE,11/22/2019 12:00:00 AM,Duplex,2,7,2,31802,"(44.96509452, -93.01762998)"
2060 3RD ST E,03/05/2019 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.95656843, -93.01355562)"
1245 WHITE BEAR AVE N,10/11/2019 12:00:00 AM,Single Family Residential,1,6,2,30704,"(44.97896604, -93.02550391)"
940 EDGERTON ST,07/03/2018 12:00:00 AM,Single Family Residential,1,6,5,31500,"(44.96961868, -93.07591697)"
